permit_date,status,closed_date,store_name,address,phone,latitude,longitude,multi_use,total_area
2019-01-23,영업/정상,,씨유용두대박점,"서울특별시 동대문구 천호대로17길 38, 1층 (용두동)",,452606.944241557,202797.691719267,N,9.0
2019-01-11,영업/정상,,씨유제기휴플러스,"서울특별시 동대문구 고산자로54길 6, 1층 (제기동)",,453886.896258688,203333.411723934,N,3.3
2019-01-31,영업/정상,,씨유답십리두산행운점,"서울특별시 동대문구 답십리로56길 21, 106호 (답십리동, 두산아파트)",,451893.093734117,205247.577383779,N,10.0
2019-03-07,영업/정상,,씨유경희대점,"서울특별시 동대문구 경희대로4길 15, 1층 (회기동)",,454465.139803244,204657.153435049,N,6.0
2019-03-13,영업/정상,,씨유답십리자이점,"서울특별시 동대문구 답십리로56길 105, 지하1층 3호 (답십리동, 답십리 파크자이)",,451716.611682923,205204.551423271,N,6.0
2019-02-22,영업/정상,,씨유 용두동아점,"서울특별시 동대문구 천호대로 68, DW빌딩 1층 (용두동)",,452376.873290658,202665.983967973,N,12.0
2023-07-07,영업/정상,,씨유 전농해성점,"서울특별시 동대문구 전농로20길 4, 1층 (전농동)",,452970.302556379,204984.149243742,N,3.3
2023-07-24,영업/정상,,씨유 용두신동아점,"서울특별시 동대문구 무학로 102, 1층 (용두동)",,452331.437606734,202663.207557639,N,3.3
2023-08-31,영업/정상,,씨유 청량리스카이점,"서울특별시 동대문구 답십리로 27, 상가동 115호 (전농동, 청량리역 롯데캐슬 SKY-L65)",,452951.998520792,203917.462724049,N,3.3
2019-03-22,영업/정상,,씨유제기약령시점,"서울특별시 동대문구 약령시로 67, 1층 (제기동)",,453413.18226943,203238.042616679,N,7.0
2019-02-25,영업/정상,,씨유 고대어진재점,"서울특별시 동대문구 회기로 14, 101호 (제기동, 어진재)",0232913337,454296.096515126,203278.740549677,N,2.0
2019-09-02,영업/정상,,씨유장안동국점,"서울특별시 동대문구 장한로28가길 122-10, 1층 (장안동)",,452934.170164945,206461.164033582,N,3.3
2019-07-10,영업/정상,,씨유청계포레스트힐,"서울특별시 동대문구 청계천로 443, 1층 (신설동)",,452109.40022926,202261.586208612,N,5.0
2019-05-15,영업/정상,,씨유전농대로점,서울특별시 동대문구 서울시립대로 88-1 (전농동),,452933.20325837,204341.248955816,N,3.3
